"level","stem"
"B1","abbieg"
"B1","abbild"
"A2","abe"
"B1","aben"
"A1","abend"
"A2","abendess"
"B1","abendzeit"
"B1","abentev"
"A1","aber"
"B1","abfahr"
"A1","abfahrt"
"B1","abfall"
"B1","abfalleim"
"A1","abflieg"
"A1","abflug"
"B1","abgas"
"A1","abgeb"
"B1","abgebog"
"B1","abgefahr"
"B1","abgegeb"
"B1","abgehang"
"B1","abgehob"
"B1","abgeholt"
"B1","abgelauf"
"B1","abgelehnt"
"B1","abgemacht"
"B1","abgenomm"
"B1","abgesagt"
"A2","abgeschloss"
"B1","abgeschrieb"
"B1","abgestimmt"
"B1","abgewasch"
"B1","abhang"
"B1","abheb"
"A1","abhol"
"B1","abholt"
"B1","abitur"
"B1","ablehn"
"B1","abmach"
"B1","abnehm"
"B1","abonnement"
"B1","abonni"
"B1","abonniert"
"B1","absag"
"B1","abschied"
"B1","abschliess"
"B1","abschluss"
"B1","abschnitt"
"B1","abschreib"
"A1","absend"
"B1","absenderin"
"B1","absicht"
"B1","absolut"
"B1","abstimm"
"B1","abteil"
"B1","abwart"
"B1","abwartin"
"B1","abwasch"
"B1","abwes"
"B1","abzuhol"
"B1","abzuschliess"
"A2","ach"
"A1","acht"
"B1","achtet"
"A1","achtung"
"B1","achtzig"
"A2","acrt"
"A2","adef"
"A1","adress"
"A2","ads"
"A2","aerab"
"A2","affenhsc"
"B1","afrika"
"A2","agata"
"A2","age"
"A2","agha"
"A2","aglich"
"A2","ahen"
"B1","ahnlich"
"A2","ahnung"
"B1","aktion"
"A2","aktiv"
"B1","aktivitat"
"A2","aktuel"
"B1","aktuell"
"B1","akzepti"
"B1","akzeptiert"
"B1","alarm"
"A2","ale"
"B1","alessandro"
"B1","alex"
"B1","alexand"
"B1","ali"
"B1","alkohol"
"B1","alkoholfrei"
"B1","alkoholsucht"
"B1","all"
"A1","allein"
"B1","allerb"
"B1","allerding"
"B1","allerschon"
"B1","allgemein"
"B1","allmah"
"B1","alltag"
"B1","alphabet"
"A2","alr"
"A1","als"
"A1","also"
"B1","alsob"
"A1","alt"
"B1","altbau"
"B1","altenheim"
"B1","alternativ"
"B1","altersheim"
"B1","altpapi"
"B1","amadeo"
"A2","amira"
"B1","amp"
"A2","ampel"
"B1","amt"
"B1","amusi"
"B1","amusiert"
"B1","analysi"
"B1","analysiert"
